Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,90710,90710,90710,90806.8,90710
2,90950,90943.9,90943.9,91036.1,90934.5
3,91130,91177.8,91177.8,91265.3,91158.9
4,91380,91411.7,91411.7,91494.5,91383.4
5,91640,91645.7,91645.7,91723.7,91607.9
6,91860,91879.6,91879.6,91953,91832.3
7,92180,92113.5,92113.5,92182.2,92056.8
8,92400,92347.4,92347.4,92411.4,92281.3
9,92620,92581.3,92581.3,92640.6,92505.7
10,92860,92815.2,92815.2,92869.9,92730.2
11,93090,93049.1,93049.1,93099.1,92954.7
12,93380,93283,93283,93328.3,93179.2
1,93640,93517,93517,93557.5,93403.6
2,93830,93750.9,93750.9,93786.8,93628.1
3,94080,93984.8,93984.8,94016,93852.6
4,94280,94218.7,94218.7,94245.2,94077
5,94540,94452.6,94452.6,94474.4,94301.5
6,94760,94686.5,94686.5,94703.7,94526
7,94970,94920.4,94920.4,94932.9,94750.4
8,95280,95154.3,95154.3,95162.1,94974.9
9,95450,95388.3,95388.3,95391.3,95199.4
10,95670,95622.2,95622.2,95620.6,95423.8
11,95840,95856.1,95856.1,95849.8,95648.3
12,96090,96090,96090,96079,95872.8
1,96700,96642.9,96614,96593.9,96321.7
2,96920,96867.4,96840.3,96823.1,96546.2
3,97130,97091.8,97066.6,97052.4,96770.6
4,97320,97316.3,97292.9,97281.6,96995.1
5,97560,97540.7,97519.2,97510.8,97219.6
6,97810,97765.2,97745.5,97740,97444.1
7,98000,97989.6,97971.8,97969.3,97668.5
8,98230,98214.1,98198.1,98198.5,97893
9,98370,98438.5,98424.4,98427.7,98117.5
10,98600,98663,98650.7,98656.9,98341.9
11,98830,98887.5,98877,98886.2,98566.4
12,99070,99111.9,99103.3,99115.4,98790.9
