Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,37320,37320,37320,37401.8,37320
2,37530,37562.6,37562.6,37635.9,37548.3
3,37760,37805.2,37805.2,37869.9,37776.7
4,38000,38047.8,38047.8,38104,38005
5,38320,38290.4,38290.4,38338.1,38233.3
6,38540,38533,38533,38572.2,38461.6
7,38770,38775.7,38775.7,38806.3,38690
8,38970,39018.3,39018.3,39040.4,38918.3
9,39210,39260.9,39260.9,39274.5,39146.6
10,39480,39503.5,39503.5,39508.5,39375
11,39730,39746.1,39746.1,39742.6,39603.3
12,39980,39988.7,39988.7,39976.7,39831.6
1,40290,40231.3,40231.3,40210.8,40060
2,40530,40473.9,40473.9,40444.9,40288.3
3,40740,40716.5,40716.5,40679,40516.6
4,40980,40959.1,40959.1,40913,40744.9
5,41190,41201.7,41201.7,41147.1,40973.3
6,41410,41444.3,41444.3,41381.2,41201.6
7,41660,41687,41687,41615.3,41429.9
8,41860,41929.6,41929.6,41849.4,41658.3
9,42110,42172.2,42172.2,42083.5,41886.6
10,42360,42414.8,42414.8,42317.6,42114.9
11,42610,42657.4,42657.4,42551.6,42343.2
12,42900,42900,42900,42785.7,42571.6
1,43300,43329,43347.9,43292.2,43028.2
2,43530,43560.2,43577.9,43526.3,43256.6
3,43810,43791.4,43807.9,43760.4,43484.9
4,44030,44022.7,44037.9,43994.4,43713.2
5,44250,44253.9,44268,44228.5,43941.6
6,44470,44485.1,44498,44462.6,44169.9
7,44710,44716.3,44728,44696.7,44398.2
8,44940,44947.5,44958,44930.8,44626.5
9,45160,45178.8,45188,45164.9,44854.9
10,45330,45410,45418,45399,45083.2
11,45610,45641.2,45648,45633,45311.5
12,45840,45872.4,45878.1,45867.1,45539.9
1,46140,46103.6,46108.1,46101.2,45768.2
2,46380,46334.9,46338.1,46335.3,45996.5
3,46580,46566.1,46568.1,46569.4,46224.8
4,46860,46797.3,46798.1,46803.5,46453.2
5,47030,47028.5,47028.1,47037.6,46681.5
6,47250,47259.8,47258.1,47271.6,46909.8
7,47510,47491,47488.2,47505.7,47138.2
8,47740,47722.2,47718.2,47739.8,47366.5
9,47930,47953.4,47948.2,47973.9,47594.8
10,48160,48184.6,48178.2,48208,47823.2
11,48400,48415.9,48408.2,48442.1,48051.5
12,48660,48647.1,48638.2,48676.2,48279.8
1,49130,49118.9,49113.6,49113.2,48736.5
2,49370,49348.7,49343.7,49343.7,48964.8
3,49630,49578.4,49573.9,49574.2,49193.1
4,49840,49808.2,49804,49804.6,49421.5
5,50050,50038,50034.1,50035.1,49649.8
6,50300,50267.8,50264.2,50265.6,49878.1
7,50490,50497.6,50494.4,50496.1,50106.5
8,50690,50727.4,50724.5,50726.6,50334.8
9,50930,50957.2,50954.6,50957.1,50563.1
10,51150,51187,51184.7,51187.5,50791.4
11,51360,51416.8,51414.9,51418,51019.8
12,51640,51646.6,51645,51648.5,51248.1
1,51880,51876.4,51875.1,51879,51476.4
2,52120,52106.2,52105.2,52109.5,51704.8
3,52350,52335.9,52335.4,52340,51933.1
4,52590,52565.7,52565.5,52570.4,52161.4
5,52790,52795.5,52795.6,52800.9,52389.7
6,53040,53025.3,53025.8,53031.4,52618.1
7,53260,53255.1,53255.9,53261.9,52846.4
8,53470,53484.9,53486,53492.4,53074.7
9,53700,53714.7,53716.1,53722.9,53303.1
10,53960,53944.5,53946.3,53953.3,53531.4
11,54160,54174.3,54176.4,54183.8,53759.7
12,54430,54404.1,54406.5,54414.3,53988.1
1,54870,54857,54859.8,54838.3,54444.7
2,55100,55084.7,55087.3,55067.6,54673
3,55330,55312.4,55314.8,55296.8,54901.4
4,55530,55540.1,55542.4,55526.1,55129.7
5,55760,55767.8,55769.9,55755.3,55358
6,56020,55995.5,55997.4,55984.5,55586.4
7,56190,56223.2,56224.9,56213.8,55814.7
8,56420,56450.9,56452.4,56443,56043
9,56660,56678.6,56679.9,56672.3,56271.3
10,56860,56906.3,56907.5,56901.5,56499.7
11,57120,57134,57135,57130.7,56728
12,57370,57361.7,57362.5,57360,56956.3
1,57610,57589.3,57590,57589.2,57184.7
2,57850,57817,57817.5,57818.4,57413
3,58050,58044.7,58045,58047.7,57641.3
4,58280,58272.4,58272.5,58276.9,57869.7
5,58480,58500.1,58500.1,58506.2,58098
6,58750,58727.8,58727.6,58735.4,58326.3
7,58940,58955.5,58955.1,58964.6,58554.6
8,59160,59183.2,59182.6,59193.9,58783
9,59380,59410.9,59410.1,59423.1,59011.3
10,59670,59638.6,59637.6,59652.3,59239.6
11,59880,59866.3,59865.2,59881.6,59468
12,60110,60094,60092.7,60110.8,59696.3
1,60590,60560,60561.6,60555.4,60152.9
2,60790,60788.7,60789.5,60784.6,60381.3
3,61050,61017.3,61017.4,61013.9,60609.6
4,61260,61245.9,61245.3,61243.2,60837.9
5,61500,61474.5,61473.2,61472.5,61066.3
6,61740,61703.1,61701.1,61701.8,61294.6
7,61930,61931.8,61929,61931,61522.9
8,62130,62160.4,62157,62160.3,61751.3
9,62360,62389,62384.9,62389.6,61979.6
10,62580,62617.6,62612.8,62618.9,62207.9
11,62780,62846.2,62840.7,62848.2,62436.2
12,63050,63074.9,63068.6,63077.4,62664.6
1,63320,63303.5,63296.5,63306.7,62892.9
2,63570,63532.1,63524.4,63536,63121.2
3,63800,63760.7,63752.3,63765.3,63349.6
4,64020,63989.4,63980.3,63994.6,63577.9
5,64220,64218,64208.2,64223.8,63806.2
6,64480,64446.6,64436.1,64453.1,64034.5
7,64660,64675.2,64664,64682.4,64262.9
8,64910,64903.8,64891.9,64911.7,64491.2
9,65110,65132.5,65119.8,65141,64719.5
10,65360,65361.1,65347.7,65370.2,64947.9
11,65590,65589.7,65575.6,65599.5,65176.2
12,65810,65818.3,65803.6,65828.8,65404.5
1,66290,66277.5,66271.6,66273.8,65861.2
2,66520,66506,66499.8,66502.6,66089.5
3,66760,66734.4,66728.1,66731.4,66317.8
4,66960,66962.8,66956.3,66960.2,66546.2
5,67230,67191.2,67184.6,67189,66774.5
6,67440,67419.6,67412.8,67417.8,67002.8
7,67630,67648,67641.1,67646.6,67231.2
8,67860,67876.4,67869.3,67875.4,67459.5
9,68080,68104.9,68097.6,68104.2,67687.8
10,68290,68333.3,68325.8,68333,67916.1
11,68550,68561.7,68554.1,68561.8,68144.5
12,68730,68790.1,68782.3,68790.6,68372.8
1,69060,69018.5,69010.6,69019.4,68601.1
2,69290,69246.9,69238.9,69248.2,68829.5
3,69470,69475.3,69467.1,69477,69057.8
4,69710,69703.8,69695.4,69705.8,69286.1
5,69920,69932.2,69923.6,69934.6,69514.5
6,70170,70160.6,70151.9,70163.4,69742.8
7,70370,70389,70380.1,70392.2,69971.1
8,70600,70617.4,70608.4,70621,70199.4
9,70820,70845.8,70836.6,70849.8,70427.8
10,71110,71074.3,71064.9,71078.6,70656.1
11,71310,71302.7,71293.1,71307.4,70884.4
12,71550,71531.1,71521.4,71536.2,71112.8
1,71970,71980.7,71975.9,71971.6,71569.4
2,72190,72208.6,72204.1,72200.1,71797.7
3,72440,72436.4,72432.3,72428.5,72026.1
4,72670,72664.3,72660.5,72657,72254.4
5,72920,72892.1,72888.7,72885.4,72482.7
6,73140,73120,73116.9,73113.9,72711.1
7,73330,73347.8,73345.1,73342.3,72939.4
8,73550,73575.7,73573.3,73570.8,73167.7
9,73790,73803.5,73801.5,73799.2,73396.1
10,73990,74031.4,74029.7,74027.6,73624.4
11,74230,74259.2,74257.9,74256.1,73852.7
12,74470,74487.1,74486.1,74484.5,74081
1,74740,74714.9,74714.3,74713,74309.4
2,74970,74942.8,74942.5,74941.4,74537.7
3,75160,75170.6,75170.7,75169.9,74766
4,75410,75398.5,75398.9,75398.3,74994.4
5,75610,75626.3,75627.1,75626.7,75222.7
6,75860,75854.2,75855.3,75855.2,75451
7,76090,76082,76083.5,76083.6,75679.4
8,76310,76309.9,76311.7,76312.1,75907.7
9,76520,76537.7,76540,76540.5,76136
10,76780,76765.6,76768.2,76769,76364.3
11,77000,76993.4,76996.4,76997.4,76592.7
12,77230,77221.3,77224.6,77225.9,76821
1,77680,77672.6,77675.3,77663.6,77277.7
2,77900,77900.7,77903.4,77892.3,77506
3,78110,78128.8,78131.5,78121,77734.3
4,78370,78356.8,78359.5,78349.7,77962.6
5,78580,78584.9,78587.6,78578.4,78191
6,78820,78812.9,78815.6,78807.1,78419.3
7,79030,79041,79043.7,79035.8,78647.6
8,79240,79269.1,79271.8,79264.5,78876
9,79460,79497.1,79499.8,79493.3,79104.3
10,79700,79725.2,79727.9,79722,79332.6
11,79990,79953.2,79955.9,79950.7,79561
12,80200,80181.3,80184,80179.4,79789.3
1,80390,80409.3,80412.1,80408.1,80017.6
2,80630,80637.4,80640.1,80636.8,80245.9
3,80880,80865.5,80868.2,80865.5,80474.3
4,81110,81093.5,81096.2,81094.2,80702.6
5,81320,81321.6,81324.3,81323,80930.9
6,81560,81549.6,81552.4,81551.7,81159.3
7,81750,81777.7,81780.4,81780.4,81387.6
8,82010,82005.8,82008.5,82009.1,81615.9
9,82210,82233.8,82236.5,82237.8,81844.2
10,82470,82461.9,82464.6,82466.5,82072.6
11,82670,82689.9,82692.7,82695.2,82300.9
12,82970,82918,82920.7,82923.9,82529.2
1,83410,83377.2,83377.4,83365.2,82985.9
2,83650,83605.2,83605.5,83594.4,83214.2
3,83830,83833.2,83833.5,83823.5,83442.6
4,84070,84061.3,84061.6,84052.7,83670.9
5,84320,84289.3,84289.7,84281.9,83899.2
6,84540,84517.3,84517.7,84511.1,84127.5
7,84720,84745.4,84745.8,84740.3,84355.9
8,84950,84973.4,84973.8,84969.5,84584.2
9,85200,85201.4,85201.9,85198.7,84812.5
10,85410,85429.5,85430,85427.9,85040.9
11,85630,85657.5,85658,85657.1,85269.2
12,85880,85885.5,85886.1,85886.2,85497.5
1,86080,86113.6,86114.2,86115.4,85725.8
2,86340,86341.6,86342.2,86344.6,85954.2
3,86560,86569.6,86570.3,86573.8,86182.5
4,86800,86797.6,86798.3,86803,86410.8
5,87020,87025.7,87026.4,87032.2,86639.2
6,87250,87253.7,87254.5,87261.4,86867.5
7,87460,87481.7,87482.5,87490.6,87095.8
8,87690,87709.8,87710.6,87719.7,87324.2
9,87960,87937.8,87938.7,87948.9,87552.5
10,88190,88165.8,88166.7,88178.1,87780.8
11,88430,88393.9,88394.8,88407.3,88009.1
12,88630,88621.9,88622.8,88636.5,88237.5
2,89100,89084.1,89087.9,89086,88694.1
1,89330,89313.1,89316.3,89315,88922.5
3,89570,89542.2,89544.6,89544,89150.8
5,89820,89771.2,89772.9,89773,89379.1
4,90010,90000.3,90001.3,90002.1,89607.4
7,90240,90229.3,90229.6,90231.1,89835.8
6,90450,90458.4,90457.9,90460.1,90064.1
9,90660,90687.4,90686.3,90689.1,90292.4
8,90870,90916.5,90914.6,90918.1,90520.8
11,91150,91145.5,91143,91147.1,90749.1
10,91340,91374.5,91371.3,91376.1,90977.4
12,91580,91603.6,91599.6,91605.1,91205.8
2,91850,91832.6,91828,91834.1,91434.1
3,92050,92061.7,92056.3,92063.1,91662.4
1,92270,92290.7,92284.6,92292.1,91890.7
4,92490,92519.8,92513,92521.1,92119.1
5,92740,92748.8,92741.3,92750.1,92347.4
6,92990,92977.9,92969.6,92979.1,92575.7
7,93240,93206.9,93198,93208.1,92804.1
8,93410,93435.9,93426.3,93437.1,93032.4
9,93680,93665,93654.6,93666.1,93260.7
10,93940,93894,93883,93895.1,93489
11,94130,94123.1,94111.3,94124.1,93717.4
12,94360,94352.1,94339.6,94353.1,93945.7
3,94820,94801.1,94793.9,94790.8,94402.4
2,95030,95028.8,95022.2,95019.2,94630.7
4,95290,95256.5,95250.4,95247.6,94859
1,95500,95484.1,95478.7,95476,95087.4
6,95690,95711.8,95706.9,95704.4,95315.7
5,95920,95939.5,95935.2,95932.8,95544
8,96130,96167.1,96163.4,96161.2,95772.3
7,96370,96394.8,96391.7,96389.7,96000.7
9,96580,96622.5,96619.9,96618.1,96229
11,96840,96850.1,96848.2,96846.5,96457.3
10,97050,97077.8,97076.4,97074.9,96685.7
12,97340,97305.5,97304.7,97303.3,96914
2,97560,97533.1,97532.9,97531.7,97142.3
3,97780,97760.8,97761.2,97760.1,97370.6
4,98010,97988.5,97989.5,97988.5,97599
6,98220,98216.1,98217.7,98216.9,97827.3
1,98470,98443.8,98446,98445.3,98055.6
8,98630,98671.5,98674.2,98673.8,98284
5,98900,98899.2,98902.5,98902.2,98512.3
9,99080,99126.8,99130.7,99130.6,98740.6
7,99320,99354.5,99359,99359,98969
10,99570,99582.2,99587.2,99587.4,99197.3
11,99820,99809.8,99815.5,99815.8,99425.6
12,100100,100037,100044,100044,99653.9
2,100460,100483,100491,100475,100111
4,100700,100711,100719,100703,100339
3,100950,100940,100948,100932,100567
1,101180,101168,101176,101161,100796
6,101350,101397,101404,101390,101024
5,101640,101625,101632,101619,101252
8,101830,101854,101860,101848,101481
7,102010,102082,102088,102077,101709
9,102310,102311,102316,102306,101937
11,102510,102539,102544,102534,102166
10,102740,102767,102772,102763,102394
12,103000,102996,103000,102992,102622
4,103250,103224,103228,103221,102851
2,103480,103453,103456,103450,103079
3,103710,103681,103684,103679,103307
6,103920,103910,103912,103908,103536
1,104150,104138,104140,104137,103764
8,104370,104367,104368,104365,103992
5,104590,104595,104596,104594,104221
9,104820,104824,104824,104823,104449
7,105040,105052,105053,105052,104677
10,105280,105281,105281,105281,104906
11,105530,105509,105509,105510,105134
12,105740,105738,105737,105739,105362
4,106200,106191,106199,106192,105819
3,106450,106420,106428,106421,106047
2,106660,106650,106656,106650,106275
1,106890,106879,106884,106879,106504
6,107080,107108,107112,107109,106732
5,107340,107338,107341,107338,106960
8,107530,107567,107569,107567,107189
7,107780,107796,107797,107796,107417
9,108040,108026,108025,108026,107645
11,108250,108255,108254,108255,107874
10,108420,108484,108482,108484,108102
12,108680,108713,108710,108713,108330
3,108970,108943,108939,108943,108559
4,109170,109172,109167,109172,108787
2,109410,109401,109395,109401,109015
6,109630,109631,109623,109630,109244
1,109900,109860,109852,109860,109472
8,110130,110089,110080,110089,109700
5,110320,110319,110308,110318,109929
9,110520,110548,110537,110547,110157
7,110800,110777,110765,110777,110385
10,111010,111006,110993,111006,110614
11,111250,111236,111221,111235,110842
12,111440,111465,111450,111464,111070
4,111940,111910,111908,111899,111527
3,112160,112139,112137,112128,111755
6,112370,112367,112365,112357,111984
2,112580,112596,112593,112587,112212
8,112770,112824,112822,112816,112440
1,113050,113052,113050,113045,112669
9,113260,113281,113278,113274,112897
5,113540,113509,113507,113504,113125
10,113690,113738,113735,113733,113354
7,113950,113966,113963,113962,113582
11,114200,114195,114192,114192,113810
12,114460,114423,114420,114421,114039
4,114630,114651,114649,114650,114267
6,114870,114880,114877,114879,114495
3,115110,115108,115105,115109,114724
8,115340,115337,115334,115338,114952
2,115560,115565,115562,115567,115180
9,115800,115794,115790,115796,115409
1,116050,116022,116019,116026,115637
10,116200,116251,116247,116255,115865
5,116460,116479,116475,116484,116094
11,116700,116707,116704,116713,116322
7,116960,116936,116932,116943,116550
12,117200,117164,117160,117172,116779
6,117690,117617,117624,117614,117235
4,117850,117846,117853,117844,117464
3,118070,118076,118082,118074,117692
2,118300,118306,118310,118304,117920
8,118500,118535,118539,118533,118149
1,118770,118765,118768,118763,118377
9,119000,118995,118996,118993,118605
5,119170,119224,119225,119223,118834
10,119380,119454,119453,119453,119062
7,119660,119684,119682,119683,119290
11,119830,119913,119911,119913,119519
12,120160,120143,120139,120143,119747
6,120400,120373,120368,120372,119975
3,120640,120602,120596,120602,120204
4,120900,120832,120825,120832,120432
8,121100,121062,121054,121062,120660
2,121310,121291,121282,121292,120889
9,121530,121521,121511,121522,121117
1,121770,121751,121739,121752,121345
10,121960,121980,121968,121982,121574
5,122170,122210,122197,122211,121802
11,122440,122440,122425,122441,122030
7,122660,122669,122654,122671,122259
12,122920,122899,122882,122901,122487
3,123370,123358,123353,123351,122944
6,123620,123587,123582,123581,123172
4,123850,123816,123811,123811,123400
2,124090,124045,124040,124041,123629
8,124260,124274,124269,124271,123857
1,124530,124504,124498,124501,124085
9,124740,124733,124727,124731,124314
5,124990,124962,124956,124961,124542
10,125150,125191,125185,125191,124770
7,125370,125420,125414,125421,124999
11,125620,125649,125643,125651,125227
12,125850,125879,125872,125881,125455
3,126080,126108,126101,126111,125684
4,126310,126337,126330,126341,125912
6,126580,126566,126558,126571,126140
8,126850,126795,126787,126801,126368
2,127060,127024,127016,127031,126597
9,127270,127254,127245,127261,126825
1,127510,127483,127474,127491,127053
10,127710,127712,127703,127721,127282
5,127920,127941,127932,127951,127510
11,128160,128170,128161,128181,127738
7,128370,128399,128390,128411,127967
12,128640,128629,128619,128641,128195
4,129120,129081,129084,129083,128652
3,129320,129311,129314,129312,128880
8,129530,129541,129543,129542,129108
6,129750,129771,129772,129772,129337
9,130000,130001,130001,130002,129565
2,130190,130231,130230,130231,129793
10,130450,130461,130460,130461,130022
1,130700,130690,130689,130691,130250
11,130920,130920,130918,130921,130478
5,131180,131150,131147,131150,130707
7,131340,131380,131376,131380,130935
12,131610,131610,131606,131610,131163
3,131820,131840,131835,131839,131392
4,132100,132070,132064,132069,131620
8,132310,132300,132293,132299,131848
9,132530,132530,132522,132529,132077
6,132740,132759,132752,132758,132305
10,132980,132989,132981,132988,132533
2,133200,133219,133210,133218,132762
11,133460,133449,133439,133448,132990
1,133700,133679,133668,133677,133218
7,133920,133909,133898,133907,133447
5,134150,134139,134127,134137,133675
12,134370,134369,134356,134366,133903
3,134780,134807,134814,134808,134360
8,135030,135037,135043,135038,134588
4,135240,135267,135272,135267,134817
6,135510,135497,135502,135497,135045
9,135740,135727,135731,135726,135273
2,135940,135957,135960,135956,135502
10,136160,136187,136189,136186,135730
1,136420,136417,136419,136415,135958
11,136610,136647,136648,136645,136187
5,136840,136878,136877,136874,136415
7,137080,137108,137107,137104,136643
12,137330,137338,137336,137334,136872
8,137590,137568,137565,137563,137100
3,137790,137798,137794,137793,137328
4,138040,138028,138024,138022,137557
9,138280,138258,138253,138252,137785
6,138460,138488,138482,138481,138013
10,138710,138718,138711,138711,138242
2,138970,138949,138941,138941,138470
11,139170,139179,139170,139170,138698
1,139430,139409,139399,139400,138927
7,139670,139639,139628,139629,139155
5,139870,139869,139858,139859,139383
12,140100,140099,140087,140089,139612
8,140520,140539,140540,140534,140068
4,140720,140768,140769,140763,140297
3,140990,140997,140998,140992,140525
6,141280,141226,141227,141221,140753
9,141490,141455,141456,141451,140982
2,141700,141684,141685,141680,141210
10,141900,141913,141915,141909,141438
1,142150,142142,142144,142139,141667
11,142360,142371,142373,142368,141895
5,142580,142600,142602,142597,142123
7,142780,142829,142831,142826,142352
12,143040,143058,143060,143056,142580
4,143240,143287,143289,143285,142808
8,143510,143516,143518,143514,143037
3,143750,143746,143747,143744,143265
9,143970,143975,143977,143973,143493
6,144200,144204,144206,144202,143722
10,144480,144433,144435,144432,143950
2,144680,144662,144664,144661,144178
11,144920,144891,144893,144890,144407
1,145110,145120,145122,145119,144635
7,145330,145349,145351,145349,144863
5,145590,145578,145580,145578,145092
12,145800,145807,145809,145807,145320
8,146220,146252,146256,146250,145776
4,146450,146480,146485,146478,146005
9,146720,146709,146714,146707,146233
3,146980,146937,146942,146936,146461
